,user_location,id,date,text,in_reply_to_status_id,in_reply_to_user_id,retweet_original_user,retweet_original_tweet_id,hashtags,retweet_count,favorite_count,source,user_id
348,,1517965089005088775,2022-04-23 20:34:14+00:00,"JJJSJSJSJ de verdad, estamos en el fandom correcto
Snoop Dogg y BTS voy a esperar esa gran colaboración
(El vídeo no es mío)
#BTSARMY #BTSCOMEBACK #ARMY #SnoopDogg https://t.co/H4sW9e03QH",,,,,,0,0,Twitter for Android,1.384298615456166e+18
349,,1517964630056128512,2022-04-23 20:32:24+00:00,"I NEED U -Japanese Ver.- / BTS
#bts  #INEEDU #防弾少年団
#방탄소년단  #army #cover
#うたってみた #歌ってみた https://t.co/487UkI6GlA",,,,,"['bts', 'INEEDU', '防弾少年団', '방탄소년단', 'army', 'cover', 'うたってみた', '歌ってみた']",0,3,Twitter for iPhone,1.3521919296272507e+18
350,,1517963838628503553,2022-04-23 20:29:16+00:00,#ARMY #MOA ya vieron los nuevos videos que subió TXT vayan a verlos que comienzen las teorías han vuelto,,,,,"['ARMY', 'MOA']",0,0,Twitter for iPhone,435967207.0
351,St. Petersburg/Clearwater FL,1517963776485638146,2022-04-23 20:29:01+00:00,Join us tomorrow 2-4 as we join the Tampa Bay Rough Riders to fund guardians for Honor Flight!  #TheBomberGirls #pinup #redlips #victoryrolls #WWII #VietnamWar #gulfWar #IraqiWar #supportveterans #Patriots #USA  #Godblessamerica #Army #navy #airforce #marines #coastguard https://t.co/dlaQUs1aUk,,,,,['TheBomberGirls'],1,1,Twitter for Android,1299994849.0
352,Türkiye,1517963077282680833,2022-04-23 20:26:14+00:00,"İyi geceler, gurur duyduğum @BTS_twt'im ve #ARMY 🥺🫂💜 
https://t.co/M9hQAsC5nN",,,,,['ARMY'],1,8,Twitter for Android,1.2657741359318016e+18
353,,1517962906297634816,2022-04-23 20:25:33+00:00,The good thing about running the comms tent is that I still get to watch the spring game. Even if it’s not in person 😭. #ARMY #BoomerSooner,,,,,"['ARMY', 'BoomerSooner']",0,1,Twitter for iPhone,1.3412171126820987e+18
354,( Scotland UK ) ,1517962377140088835,2022-04-23 20:23:27+00:00,"@thedogman_918 
🔵⚪️⚫️ K9 Vinyl Prints ⚫️⚪️🔵

Each vinyl is custom made to order handmade by myself
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details #k9 #PoliceDog #DogHandler #DogHandlers https://t.co/9GEc2fGAil",,9.333176243348972e+17,,,"['Army', 'Veteran']",0,0,Twitter Web App,2390888330.0
355,,1517962010151030784,2022-04-23 20:22:00+00:00,#11YearsWithJungkook  #JK #BTS #Jungkook #ARMY https://t.co/ucmeUdpnX3,,,,,"['11YearsWithJungkook', 'JK', 'BTS', 'Jungkook', 'ARMY']",0,0,Twitter for Android,1.509707031560831e+18
356,"Washington, D.C.",1517961554150535168,2022-04-23 20:20:11+00:00,"#Putin's #Russian #Army attacks #Mariupol #Ukraine:Mass graves,thousands of civilians reportedly massacred,kidnapped as atrocities,#WarCrimes  mount- #CenterForPublicPolicyAnalysis #Marioupol #Kiev #Kyiv #Bucha #Kharkiv #Irpin #Kherson #Odessa #Odesa #Donbas #Donbass #Donetsk https://t.co/LPGEqUCK2C",,,,,"['Putin', 'Russian', 'Army', 'Mariupol', 'Ukraine']",0,0,Twitter Web App,559011654.0
357,"St Paul, MN",1517961234670358529,2022-04-23 20:18:55+00:00,"Yo #ARMY sound off with your fav #BTS song

Mine is 🎉💐🌈TELEPATHY🔮🎊🎁

https://t.co/qRk4tftCJh",,,,,"['ARMY', 'BTS']",0,0,Twitter for iPhone,1.4009627584939336e+18
358,,1517960825230745600,2022-04-23 20:17:17+00:00,"#ARMY REPRODUCE DESDE EL CANAL OFICIAL DE LOS CHICOS LA PRESENTACIÓN EN LOS GR4MMYS !!! Y sigamos con el TREND #BTS_Butter 💜💜💜

BTS (방탄소년단) 'Butter' @ The 64th GRAMMY Awards https://t.co/NAVoH4WLY7 vía @YouTube",,,,,['ARMY'],0,0,Twitter for iPhone,1.3002593363678044e+18
359,miyagi,1517621209759768579,2022-04-22 21:47:47+00:00,"🕊⸒⸒ 𝘁𝗮𝗴

                  🤍 𝗽𝗮𝗿𝗸 𝗷𝗶𝗺𝗶𝗻 🤍

                  𝟵𝟳 ¦ 𝘁𝗼𝗵𝗼𝗸𝘂 ¦ 同他◎

         ♡or↺でお迎えいたします😌
年齢問わず仲良くできたら嬉しいです！
       
#ARMYさんと繋がりたい #ARMYさんと仲良くなりたい #大人ARMYさんと繋がりたい #army https://t.co/PjAC94pF1b",,,,,,16,276,Twitter for iPhone,1.5176156087575798e+18
360,,1517821365243772928,2022-04-23 11:03:07+00:00,"アインスタイニウム…アミなら分かるやつや😂🤣
＃BTS
＃ARMY https://t.co/4DfhNgIrsA",,,,,"['BTS', 'ARMY']",67,2321,Twitter for iPhone,1.3980711807670886e+18
